i,j,k,probability
0,8,32,0.6560833577329717
0,8,33,0.6641302116202418
0,8,34,0.6721595217540575
0,8,35,0.6801166435038408
0,8,36,0.6880400693700988
0,8,37,0.6959653883892355
0,8,38,0.7038581550351297
0,8,39,0.7117498399476153
0,8,40,0.7195997084445848
0,8,41,0.7274018307526964
0,8,42,0.735126105429955
0,8,43,0.7427358149128751
0,8,44,0.750210989168297
0,8,45,0.757496328905331
0,8,46,0.7646727897030292
0,8,47,0.7716722385961272
0,8,48,0.7785504487222348
0,8,49,0.785376971270582
0,8,50,0.7922032339225691
0,8,51,0.7991371203890472
0,8,52,0.8062086454894419
0,8,53,0.8133367064821881
0,8,54,0.8204981798130453
0,8,55,0.8273893580349446
0,8,56,0.8341083016991637
0,8,57,0.840724099841345
0,8,58,0.8471578902362502
0,8,59,0.853475994647839
0,8,60,0.8597759672544389
0,8,61,0.8660970428438501
0,8,62,0.8721465906591949
0,8,63,0.8777344201957626
0,8,64,0.8830991487701877
0,8,65,0.8882139507211808
0,8,66,0.8930780941397188
0,8,67,0.8978462148877127
0,8,68,0.9023646726523921
0,8,69,0.9066727385713166
0,8,70,0.910995389862727
0,8,71,0.9154333422067241
0,8,72,0.920009067050421
0,8,73,0.9248394081224969
0,8,74,0.9301029185161858
0,8,75,0.9350674375575114
0,8,76,0.93869774081761
0,8,77,0.941669581518167
0,8,78,0.9462025560598992
0,8,79,0.9507928830848008
0,8,80,0.9551220587386866
0,8,81,0.9591361833116183
0,8,82,0.9629124038702196
0,8,83,0.9664709319819147
0,8,84,0.9680483835611869
0,8,85,0.9694179751809954
0,8,86,0.9707381814130537
0,8,87,0.9719200809199358
0,8,88,0.9731454168611468
0,8,89,0.974344396333321
0,8,90,0.9754791566171181
0,8,91,0.9765169903736902
0,8,92,0.9775100542750291
0,8,93,0.9781983392623674
0,8,94,0.979477732800147
0,8,95,0.9804775649776345
0,8,96,0.9812757688291341
0,8,97,0.9819097517664099
0,8,98,0.9825022087279411
0,8,99,0.9825022087279411
0,9,0,0.4644396411597804
0,9,1,0.46728854562583844
0,9,2,0.4702693045965578
0,9,3,0.47338636700754955
0,9,4,0.4766465496266832
0,9,5,0.4800576786770129
0,9,6,0.4836275802956245
0,9,7,0.4873627313973218
0,9,8,0.4912709208351676
0,9,9,0.49534892409637826
0,9,10,0.4996187743965481
0,9,11,0.5040943546030754
0,9,12,0.5087821411138569
0,9,13,0.5136818274514158
0,9,14,0.5187980607208431
0,9,15,0.5240867939710621
0,9,16,0.5297134564151951
0,9,17,0.5356356223620828
0,9,18,0.5418085465186964
0,9,19,0.5481961787504026
0,9,20,0.5547841935454735
0,9,21,0.5614458559837721
0,9,22,0.5693955970578692
0,9,23,0.5773415421909464
0,9,24,0.5852337236574047
0,9,25,0.5931099869027696
0,9,26,0.6009739445575218
0,9,27,0.6088618350812066
0,9,28,0.6167781457847735
0,9,29,0.6247319279166934
0,9,30,0.6327858184504156
0,9,31,0.6409297549041126
0,9,32,0.6490690788255358
0,9,33,0.6571670805949035
0,9,34,0.6652358594225353
0,9,35,0.673237255136652
